Time_ms,ax,ay,az
1772930907119.6936,0.0462,-0.5692,-0.7954
1772930907119.6936,0.0448,-0.57,-0.7967
1772930907119.6936,0.0448,-0.5677,-0.7925
1772930907119.6936,0.0458,-0.5696,-0.7953
1772930907119.6936,0.0467,-0.5684,-0.7965
1772930907134.881,0.047,-0.5681,-0.797
1772930907134.881,0.0455,-0.5705,-0.798
1772930907134.881,0.0478,-0.5705,-0.7955
1772930907134.881,0.0453,-0.5698,-0.7975
1772930907134.881,0.0463,-0.5714,-0.7943
1772930907134.881,0.0472,-0.568,-0.7971
1772930907134.881,0.0457,-0.5686,-0.7954
1772930907134.881,0.0458,-0.5664,-0.7974
1772930907150.4167,0.0464,-0.5692,-0.7986
1772930907150.4167,0.0498,-0.5698,-0.7956
1772930907150.4167,0.048,-0.5702,-0.798
1772930907150.4167,0.0489,-0.569,-0.7991
1772930907150.4167,0.0486,-0.5699,-0.7951
1772930907150.4167,0.046,-0.5711,-0.7982
1772930907150.4167,0.0493,-0.5696,-0.7953
1772930907150.4167,0.0474,-0.5718,-0.797
1772930907165.5586,0.05,-0.57,-0.7942
1772930907165.5586,0.0475,-0.5689,-0.796
1772930907165.5586,0.0489,-0.5707,-0.7987
1772930907165.5586,0.05,-0.5694,-0.7948
1772930907165.5586,0.0484,-0.5685,-0.7964
1772930907181.911,0.0494,-0.5668,-0.7949
1772930907181.911,0.0494,-0.5668,-0.7957
1772930907181.911,0.0478,-0.5673,-0.7936
1772930907181.911,0.0473,-0.5703,-0.7943
1772930907181.911,0.0492,-0.5665,-0.7932
1772930907181.911,0.0481,-0.5689,-0.7945
1772930907181.911,0.0492,-0.5688,-0.7915
1772930907181.911,0.0463,-0.5669,-0.7956
1772930907197.257,0.0478,-0.5655,-0.7934
1772930907197.257,0.0484,-0.5639,-0.7951
1772930907197.257,0.0468,-0.5653,-0.7926
1772930907197.257,0.0486,-0.5647,-0.7943
1772930907197.257,0.0467,-0.5673,-0.7924
1772930907197.257,0.0473,-0.568,-0.7912
1772930907197.257,0.0461,-0.5681,-0.7929
