Time_ms,ax,ay,az,gx,gy,gz
1772932654357.6914,-0.1203,-0.0049,-0.967,2.905,-2.765,-1.295
1772932654357.6914,-0.1202,-0.0056,-0.9712,3.141,-2.581,-1.304
1772932654357.6914,-0.1178,-0.0051,-0.969,2.826,-2.712,-1.094
1772932654373.278,-0.1182,-0.0068,-0.9701,3.132,-2.59,-1.26
1772932654373.278,-0.117,-0.0068,-0.9698,3.159,-3.054,-1.278
1772932654373.278,-0.116,-0.0076,-0.9709,2.984,-2.975,-1.251
1772932654388.59,-0.1155,-0.0065,-0.9696,2.888,-2.975,-1.304
1772932654388.59,-0.1161,-0.0077,-0.9672,2.922,-2.914,-1.356
1772932654388.59,-0.1161,-0.0041,-0.9676,2.817,-3.08,-1.234
1772932654388.59,-0.1148,-0.0059,-0.9675,2.888,-3.045,-1.085
1772932654404.907,-0.1168,-0.0043,-0.9687,2.931,-2.94,-1.085
1772932654404.907,-0.1146,-0.003,-0.9714,3.045,-2.949,-1.225
1772932654404.907,-0.1139,-0.0013,-0.9715,3.229,-3.098,-1.321
1772932654404.907,-0.1157,-0.0039,-0.9723,3.106,-2.791,-1.251
1772932654404.907,-0.1146,-0.0023,-0.9717,3.229,-3.255,-1.374
1772932654421.0059,-0.1138,-0.0053,-0.974,3.439,-3.255,-1.181
1772932654421.0059,-0.1148,-0.0046,-0.9743,3.316,-3.421,-1.137
1772932654421.0059,-0.1166,-0.0029,-0.9755,3.447,-3.106,-1.295
1772932654421.0059,-0.1171,-0.0056,-0.9726,3.474,-3.43,-1.566
1772932654436.3474,-0.1166,-0.0065,-0.9733,3.692,-3.264,-1.269
1772932654436.3474,-0.1138,-0.0061,-0.976,3.482,-3.456,-1.435
1772932654436.3474,-0.113,-0.004,-0.9749,3.421,-3.482,-1.286
1772932654436.3474,-0.1166,-0.0051,-0.9753,3.237,-3.229,-1.312
1772932654451.9216,-0.1179,-0.007,-0.9733,3.141,-3.176,-1.347
1772932654451.9216,-0.1144,-0.0041,-0.9738,3.237,-3.465,-1.4
1772932654451.9216,-0.113,-0.0053,-0.9725,3.386,-3.386,-1.295
1772932654451.9216,-0.1136,-0.0034,-0.9735,3.229,-3.203,-1.199
1772932654467.6587,-0.1135,-0.0049,-0.9714,2.984,-2.949,-1.225
1772932654467.6587,-0.1139,-0.0043,-0.9744,3.089,-3.404,-1.356
1772932654467.6587,-0.1143,-0.0054,-0.9765,3.001,-3.115,-1.339
1772932654482.4133,-0.1163,-0.0073,-0.9757,2.984,-3.351,-1.365
1772932654482.4133,-0.1134,-0.0056,-0.9751,3.045,-3.272,-1.137
1772932654482.4133,-0.1141,-0.0049,-0.9734,2.879,-3.071,-1.505
1772932654482.4133,-0.1151,-0.0035,-0.9729,3.255,-3.159,-1.094
1772932654482.4133,-0.1154,-0.0049,-0.973,3.01,-3.071,-1.391
1772932654497.8032,-0.1168,-0.0035,-0.9729,3.159,-2.914,-0.963
1772932654497.8032,-0.1141,-0.0035,-0.9764,3.036,-2.835,-1.4
1772932654497.8032,-0.114,-0.0036,-0.9725,3.08,-3.062,-1.409
1772932654497.8032,-0.1139,-0.0044,-0.9739,3.106,-2.931,-1.295
1772932654513.8896,-0.1131,-0.0045,-0.9733,3.15,-2.896,-1.33
1772932654513.8896,-0.1129,-0.0035,-0.9717,2.87,-2.765,-1.383
1772932654513.8896,-0.1143,-0.0043,-0.9736,3.194,-2.52,-1.409
1772932654513.8896,-0.112,-0.0065,-0.9753,3.045,-2.415,-1.242
1772932654529.162,-0.1105,-0.005,-0.9746,3.106,-2.38,-1.426
1772932654529.162,-0.111,-0.0081,-0.9755,3.036,-2.354,-1.295
1772932654529.162,-0.1133,-0.008,-0.9773,2.993,-2.581,-1.426
1772932654529.162,-0.1118,-0.0079,-0.9773,3.281,-2.511,-1.347
1772932654544.639,-0.1113,-0.0059,-0.9798,3.01,-2.38,-1.12
1772932654544.639,-0.1114,-0.0068,-0.9812,3.019,-2.931,-1.129
