Time_ms,ax,ay,az,gx,gy,gz
1772935212045.0723,-0.0265,0.0289,-1.0089,6.037,-9.056,-0.884
1772935212045.0723,-0.0259,0.0285,-1.0055,5.941,-9.363,-0.98
1772935212045.0723,-0.0257,0.0297,-1.0094,5.355,-9.634,-1.129
1772935212045.0723,-0.0269,0.0292,-1.0076,5.407,-9.914,-1.164
1772935212045.0723,-0.0282,0.0279,-1.0049,5.215,-10.588,-1.339
1772935212045.0723,-0.0286,0.0287,-1.0063,5.215,-10.859,-1.225
1772935212060.3743,-0.0282,0.0312,-1.005,5.093,-11.27,-1.575
1772935212060.3743,-0.031,0.032,-1.0046,4.69,-11.76,-1.75
1772935212060.3743,-0.03,0.0323,-1.0017,4.366,-11.716,-1.645
1772935212060.3743,-0.0307,0.0327,-1.0016,4.305,-12.005,-1.566
1772935212060.3743,-0.0339,0.032,-0.9997,4.375,-12.443,-1.855
1772935212060.3743,-0.0331,0.0298,-0.9988,4.112,-12.758,-1.951
1772935212060.3743,-0.0346,0.032,-0.9981,3.911,-12.941,-2.118
1772935212060.3743,-0.0369,0.0307,-0.9973,3.561,-12.889,-1.837
1772935212060.3743,-0.0384,0.0289,-0.9966,3.509,-13.23,-1.96
1772935212060.3743,-0.0371,0.0293,-0.9944,3.369,-13.134,-1.759
1772935212060.3743,-0.0355,0.0296,-0.9948,3.132,-13.274,-1.864
1772935212060.3743,-0.0382,0.0289,-0.9958,3.167,-13.422,-1.969
1772935212076.167,-0.0387,0.0283,-0.9981,2.984,-13.633,-1.986
1772935212076.167,-0.0374,0.0286,-0.9991,3.255,-13.44,-1.986
1772935212076.167,-0.0396,0.0285,-1.0026,3.264,-13.431,-1.995
1772935212076.167,-0.0396,0.0284,-1.0041,2.896,-13.422,-1.942
1772935212076.167,-0.0394,0.0273,-1.0089,2.765,-13.379,-1.689
1772935212076.167,-0.0374,0.0287,-1.0128,2.345,-13.256,-1.627
1772935212076.167,-0.0389,0.0264,-1.017,2.319,-13.3,-1.409
1772935212076.167,-0.0382,0.026,-1.0169,1.881,-13.361,-1.558
1772935212076.167,-0.0392,0.0249,-1.0219,1.671,-13.248,-1.426
1772935212076.167,-0.0391,0.0244,-1.0236,1.181,-13.44,-1.575
1772935212076.167,-0.0406,0.0244,-1.0249,0.7,-13.527,-1.435
1772935212076.167,-0.0434,0.0231,-1.0221,-0.105,-13.221,-1.278
1772935212076.167,-0.0475,0.0224,-1.0196,-0.7,-12.539,-1.155
1772935212092.1274,-0.049,0.0217,-1.0153,-1.505,-12.451,-1.067
1772935212092.1274,-0.0526,0.0218,-1.0113,-2.669,-11.777,-1.094
1772935212092.1274,-0.0552,0.0203,-1.0039,-3.649,-10.902,-1.024
1772935212092.1274,-0.0585,0.0186,-0.9974,-4.716,-10.027,-0.989
1772935212092.1274,-0.0628,0.02,-0.9916,-5.819,-8.706,-1.129
1772935212092.1274,-0.0639,0.0194,-0.9839,-7.044,-7.639,-0.945
1772935212092.1274,-0.0686,0.0215,-0.9801,-8.365,-6.282,-1.059
1772935212092.1274,-0.0708,0.022,-0.9718,-9.249,-4.428,-1.015
1772935212092.1274,-0.0744,0.0245,-0.9674,-10.168,-2.581,-0.77
1772935212092.1274,-0.077,0.0246,-0.9675,-11.095,-0.805,-0.718
1772935212092.1274,-0.0737,0.0295,-0.9617,-12.005,1.234,-0.831
1772935212092.1274,-0.0762,0.0292,-0.9612,-12.556,3.036,-0.849
1772935212092.1274,-0.075,0.0282,-0.9611,-12.924,5.215,-0.796
1772935212107.122,-0.0728,0.0314,-0.9586,-13.116,6.825,-0.971
1772935212107.122,-0.0697,0.0361,-0.9607,-13.143,8.356,-0.752
1772935212107.122,-0.0686,0.0382,-0.9603,-12.985,9.931,-0.674
1772935212107.122,-0.0645,0.0406,-0.9588,-12.521,11.2,-0.621
1772935212107.122,-0.0614,0.0431,-0.9578,-11.996,12.346,-0.682
1772935212107.122,-0.059,0.0423,-0.9537,-10.867,12.985,-0.752
1772935212107.122,-0.0547,0.0442,-0.9555,-9.922,13.519,-1.067
1772935212107.122,-0.0509,0.0465,-0.9516,-8.584,13.921,-1.024
1772935212107.122,-0.0491,0.0476,-0.9493,-7.376,13.685,-0.84
1772935212107.122,-0.0456,0.0486,-0.9415,-6.247,13.44,-1.059
1772935212107.122,-0.0407,0.0481,-0.9396,-4.734,13.178,-1.103
1772935212107.122,-0.036,0.049,-0.9357,-3.439,12.679,-1.094
1772935212122.2554,-0.034,0.0464,-0.9304,-2.065,11.786,-1.444
1772935212122.2554,-0.0343,0.0462,-0.9267,-0.892,10.544,-1.426
1772935212122.2554,-0.0326,0.0447,-0.924,0.061,9.38,-1.409
1772935212122.2554,-0.0298,0.0436,-0.9198,1.242,8.024,-1.558
1772935212122.2554,-0.0281,0.0434,-0.9165,2.196,6.65,-1.339
1772935212122.2554,-0.0279,0.0403,-0.9132,3.001,5.425,-1.47
1772935212122.2554,-0.0266,0.0379,-0.9168,3.587,3.666,-1.689
1772935212122.2554,-0.0257,0.0368,-0.913,4.393,2.083,-1.496
1772935212122.2554,-0.0249,0.0359,-0.9139,4.856,0.7,-1.479
1772935212122.2554,-0.0262,0.0315,-0.9121,5.162,-0.735,-1.479
1772935212122.2554,-0.0287,0.0327,-0.9143,5.827,-2.607,-1.601
1772935212122.2554,-0.0278,0.0313,-0.9157,6.011,-4.034,-1.356
1772935212137.7192,-0.0298,0.0284,-0.9154,6.125,-5.381,-1.26
1772935212137.7192,-0.0289,0.0278,-0.9177,6.466,-6.764,-1.269
1772935212137.7192,-0.0298,0.0261,-0.9198,6.606,-7.945,-1.435
1772935212137.7192,-0.0318,0.0278,-0.9226,6.694,-9.38,-1.4
1772935212137.7192,-0.0338,0.027,-0.9224,6.633,-10.115,-1.278
1772935212137.7192,-0.035,0.0249,-0.9265,6.423,-11.366,-1.452
1772935212137.7192,-0.0342,0.0241,-0.9306,6.317,-11.979,-1.452
1772935212137.7192,-0.0393,0.0232,-0.9317,6.213,-12.512,-1.391
1772935212137.7192,-0.0388,0.0229,-0.9348,6.011,-12.81,-1.645
1772935212137.7192,-0.0404,0.0225,-0.9396,5.731,-13.265,-1.417
1772935212137.7192,-0.0401,0.0224,-0.9411,5.495,-13.554,-1.514
1772935212137.7192,-0.0433,0.0231,-0.9448,5.232,-13.414,-1.96
1772935212137.7192,-0.0419,0.0212,-0.9448,5.119,-13.379,-1.811
1772935212153.5522,-0.0416,0.0191,-0.9484,4.55,-13.335,-2.03
1772935212153.5522,-0.0453,0.0204,-0.9521,4.104,-12.801,-1.96
1772935212153.5522,-0.0429,0.0203,-0.9558,4.253,-12.294,-1.995
1772935212153.5522,-0.0464,0.0187,-0.957,3.684,-11.769,-1.942
1772935212153.5522,-0.0456,0.0204,-0.9622,3.22,-11.043,-2.039
1772935212153.5522,-0.0463,0.0181,-0.9684,2.888,-10.211,-1.995
1772935212153.5522,-0.0454,0.0175,-0.9711,2.415,-9.459,-2.161
1772935212153.5522,-0.0457,0.0196,-0.9773,2.074,-8.803,-2.1
1772935212153.5522,-0.0428,0.0202,-0.9827,1.601,-8.033,-2.039
1772935212153.5522,-0.0425,0.0184,-0.9849,1.111,-7.359,-2.065
1772935212153.5522,-0.04,0.0199,-0.9881,0.84,-6.764,-2.188
1772935212153.5522,-0.041,0.022,-0.9915,0.429,-6.143,-2.231
1772935212153.5522,-0.0386,0.0229,-0.9977,0.105,-5.311,-2.047
1772935212169.0215,-0.0362,0.0265,-1.0006,-0.464,-4.891,-2.039
1772935212169.0215,-0.0362,0.0232,-1.0026,-0.665,-3.902,-2.065
1772935212169.0215,-0.0352,0.0269,-1.0056,-1.208,-3.377,-2.074
1772935212169.0215,-0.0354,0.0276,-1.0071,-1.417,-3.255,-1.907
1772935212169.0215,-0.0332,0.0306,-1.0092,-1.951,-2.809,-2.179
1772935212169.0215,-0.0328,0.0293,-1.0111,-1.978,-2.45,-2.047
1772935212169.0215,-0.0328,0.0314,-1.0099,-2.039,-2.03,-2.214
1772935212169.0215,-0.0329,0.0363,-1.0081,-2.336,-1.89,-2.301
1772935212169.0215,-0.0301,0.0357,-1.0113,-2.625,-1.776,-2.389
1772935212169.0215,-0.0312,0.0373,-1.0097,-2.721,-1.969,-2.441
1772935212169.0215,-0.0299,0.0378,-1.0092,-2.94,-1.663,-2.607
1772935212169.0215,-0.0291,0.0394,-1.0089,-2.87,-1.654,-2.599
1772935212185.038,-0.0273,0.0409,-1.0034,-2.958,-1.907,-2.678
1772935212185.038,-0.0271,0.0413,-1.0018,-2.817,-2.004,-2.791
1772935212185.038,-0.0278,0.0413,-0.9983,-2.66,-2.074,-2.581
1772935212185.038,-0.0282,0.0426,-0.9976,-2.643,-1.951,-2.712
1772935212185.038,-0.0251,0.0442,-0.9972,-2.406,-2.135,-2.914
1772935212185.038,-0.0267,0.0435,-0.9953,-2.214,-2.415,-3.001
