Time_ms,ax,ay,az
1772931090025.448,0.0457,-0.6183,-0.7549
1772931090025.448,0.0453,-0.617,-0.7571
1772931090025.448,0.044,-0.6159,-0.757
1772931090025.448,0.0481,-0.6152,-0.7568
1772931090041.3633,0.0472,-0.6177,-0.7541
1772931090041.3633,0.0473,-0.6143,-0.7569
1772931090041.3633,0.0492,-0.6136,-0.7559
1772931090041.3633,0.0467,-0.6148,-0.7538
1772931090041.3633,0.0476,-0.6127,-0.756
1772931090041.3633,0.0498,-0.6133,-0.7577
1772931090056.4202,0.0499,-0.6123,-0.7566
1772931090056.4202,0.0493,-0.6134,-0.7577
1772931090056.4202,0.0479,-0.6136,-0.7544
1772931090056.4202,0.05,-0.6143,-0.7571
1772931090056.4202,0.0508,-0.6152,-0.761
1772931090056.4202,0.0501,-0.6141,-0.7591
1772931090056.4202,0.051,-0.613,-0.7591
1772931090056.4202,0.049,-0.6148,-0.7599
1772931090072.2737,0.0485,-0.6142,-0.7623
1772931090072.2737,0.0508,-0.6146,-0.7622
1772931090072.2737,0.0491,-0.6154,-0.7625
1772931090072.2737,0.0504,-0.6174,-0.7636
1772931090072.2737,0.05,-0.6159,-0.766
1772931090072.2737,0.0498,-0.6182,-0.7665
1772931090072.2737,0.0472,-0.6196,-0.7637
1772931090072.2737,0.0474,-0.6179,-0.7625
1772931090087.8545,0.0469,-0.6171,-0.7631
1772931090087.8545,0.0464,-0.6176,-0.7637
1772931090087.8545,0.0471,-0.6172,-0.7641
1772931090087.8545,0.0481,-0.6153,-0.7625
1772931090087.8545,0.0484,-0.6133,-0.7612
1772931090087.8545,0.0501,-0.6152,-0.7613
1772931090087.8545,0.0486,-0.614,-0.759
1772931090087.8545,0.0491,-0.617,-0.7597
1772931090103.2854,0.0476,-0.6186,-0.7564
1772931090103.2854,0.0506,-0.6171,-0.7569
1772931090103.2854,0.0508,-0.6191,-0.7569
1772931090103.2854,0.0515,-0.6195,-0.7575
1772931090103.2854,0.0495,-0.6204,-0.7571
1772931090103.2854,0.0504,-0.6195,-0.7586
1772931090103.2854,0.052,-0.6198,-0.7593
1772931090103.2854,0.0497,-0.6199,-0.7575
1772931090118.9011,0.0511,-0.6199,-0.7591
1772931090118.9011,0.0492,-0.6182,-0.7592
1772931090118.9011,0.0493,-0.6192,-0.7592
1772931090118.9011,0.049,-0.619,-0.7595
1772931090118.9011,0.0475,-0.6197,-0.7593
1772931090133.7405,0.0492,-0.617,-0.761
1772931090133.7405,0.0506,-0.6184,-0.7606
1772931090133.7405,0.0481,-0.6176,-0.7599
1772931090133.7405,0.0489,-0.6178,-0.7614
1772931090133.7405,0.0478,-0.617,-0.762
1772931090133.7405,0.0512,-0.616,-0.7627
1772931090133.7405,0.0508,-0.615,-0.7597
1772931090133.7405,0.0546,-0.6168,-0.7605
1772931090149.4731,0.0514,-0.6171,-0.7588
1772931090149.4731,0.055,-0.6154,-0.7625
1772931090149.4731,0.0547,-0.6165,-0.764
1772931090149.4731,0.0543,-0.6142,-0.7608
1772931090149.4731,0.0547,-0.6123,-0.7634
1772931090149.4731,0.0544,-0.613,-0.7635
1772931090149.4731,0.0556,-0.6129,-0.764
1772931090149.4731,0.0558,-0.6126,-0.7668
1772931090165.4512,0.0546,-0.6111,-0.7645
1772931090165.4512,0.0557,-0.6118,-0.7665
1772931090165.4512,0.0544,-0.6132,-0.7657
1772931090165.4512,0.0542,-0.6122,-0.7637
1772931090165.4512,0.0536,-0.6127,-0.7649
1772931090165.4512,0.0527,-0.6105,-0.763
1772931090165.4512,0.0531,-0.6093,-0.7662
1772931090165.4512,0.0557,-0.612,-0.7668
1772931090181.0542,0.0545,-0.6106,-0.7647
1772931090181.0542,0.0536,-0.6101,-0.7671
1772931090181.0542,0.0539,-0.6135,-0.7638
1772931090181.0542,0.0547,-0.6118,-0.7643
1772931090181.0542,0.0539,-0.6159,-0.764
1772931090181.0542,0.0548,-0.6134,-0.7634
1772931090181.0542,0.0558,-0.6152,-0.7624
1772931090181.0542,0.054,-0.6156,-0.763
1772931090196.4087,0.0545,-0.617,-0.7621
1772931090196.4087,0.0541,-0.6176,-0.7618
1772931090196.4087,0.054,-0.6151,-0.7637
1772931090196.4087,0.056,-0.6185,-0.7605
1772931090196.4087,0.0545,-0.6187,-0.7623
1772931090211.909,0.0518,-0.62,-0.7625
1772931090211.909,0.0528,-0.621,-0.7615
1772931090211.909,0.0522,-0.6199,-0.7618
